rank,name,artist,url
14,Tái Sinh (Remix Style Huy PT),"Tùng Dương, meChill",https://v11.nhaccuatui.com/bai-hat/tai-sinh-remix-style-huy-pt-tung-duong-mechill.jnvWyYqFjQkS.html
15,Vị Nhà,Đen,https://v11.nhaccuatui.com/bai-hat/vi-nha-den.m7lGmtL8YAbL.html
16,Có Đôi Điều,Shiki,https://v11.nhaccuatui.com/bai-hat/co-doi-dieu-shiki.g8I9trWM248C.html
17,Trả Lại Thanh Xuân Cho Em (Remix),mochiii,https://v11.nhaccuatui.com/bai-hat/tra-lai-thanh-xuan-cho-em-remix-mochiii.KSb5D2w6RGnG.html
18,Thương Thì Thôi (Ciray Remix),Jank,https://v11.nhaccuatui.com/bai-hat/thuong-thi-thoi-ciray-remix-jank.W29SGIlQ6vbj.html
19,Em Hỏi Thăm Anh Được Không,ren,https://v11.nhaccuatui.com/bai-hat/em-hoi-tham-anh-duoc-khong-ren.TEWCnn43IFu0.html
20,GIÀU NHẤT KHU PHÙ HOA,"JustaTee, Wxrdie, Gill, Dangrangto, Hustlang Robber",https://v11.nhaccuatui.com/bai-hat/giau-nhat-khu-phu-hoa-justatee-wxrdie-gill-dangrangto-hustlang-robber.ZJ79KkPo8cU2.html
21,Trương Đình Hoàng (SS x AM Remix),Lil Van,https://v11.nhaccuatui.com/bai-hat/truong-dinh-hoang-ss-x-am-remix-lil-van.GvY1eSD2odQ7.html
22,ANH TRAI HIP HOP,"RAP VIỆT, B Ray, Hustlang Robber, Gill",https://v11.nhaccuatui.com/bai-hat/anh-trai-hip-hop-rap-viet-b-ray-hustlang-robber-gill.JA1ckllMIXdR.html
23,Dắt Anh Về Nhà,"Thoại Nghi, ICM, MHee",https://v11.nhaccuatui.com/bai-hat/dat-anh-ve-nha-thoai-nghi-icm-mhee.Y5dpH4v6eV1e.html
24,ANH ĐÃ LÀM GÌ ĐÂU,"RAP VIỆT, Nhật Hoàng, Thùy Chi",https://v11.nhaccuatui.com/bai-hat/anh-da-lam-gi-dau-rap-viet-nhat-hoang-thuy-chi.vR9ZLLyOma6r.html
25,Nỗi Đau Đính Kèm,"Anh Tú Atus, RHYDER",https://v11.nhaccuatui.com/bai-hat/noi-dau-dinh-kem-anh-tu-atus-rhyder.Sb4n5RZ46YPe.html
26,Love Hangover,"JENNIE, Dominic Fike",https://v11.nhaccuatui.com/bai-hat/love-hangover-jennie-dominic-fike.GyjVePkLmy8Z.html
27,2GOILAYS,"DMT, Dangrangto, TeuYungBoy",https://v11.nhaccuatui.com/bai-hat/2goilays-dmt-dangrangto-teuyungboy.HDdgbMFiFmCz.html
28,HUSTLANG ALL DAY,"RAP VIỆT, Hustlang Robber",https://v11.nhaccuatui.com/bai-hat/hustlang-all-day-rap-viet-hustlang-robber.CyLKD1v4vbsG.html
29,LƯỚT TRÊN CON SÓNG,"RAP VIỆT, Dangrangto",https://v11.nhaccuatui.com/bai-hat/luot-tren-con-song-rap-viet-dangrangto.8uPdufDbpDRT.html
30,LÀN ƯU TIÊN,"Quang Hùng MasterD, JSOL, HURRYKNG, Dương Domic, MOPIUS",https://v11.nhaccuatui.com/bai-hat/lan-uu-tien-quang-hung-masterd-jsol-hurrykng-duong-domic-mopius.58zlb0WV5sp0.html
31,Chuyến Xe Cuộc Đời (Remix),"Thanh Hưng, ACV",https://v11.nhaccuatui.com/bai-hat/chuyen-xe-cuoc-doi-remix-thanh-hung-acv.xJW2XOUDdPau.html
32,Pickleball,Đỗ Phú Quí,https://v11.nhaccuatui.com/bai-hat/pickleball-do-phu-qui.7ucwS2FUTATp.html
33,Tái Sinh,Tùng Dương,https://v11.nhaccuatui.com/bai-hat/tai-sinh-tung-duong.pRWD2qnMLHNL.html
34,APT.,"ROSÉ, Bruno Mars",https://v11.nhaccuatui.com/bai-hat/apt-rose-bruno-mars.eaFQ8IVnfq1x.html
35,1TINHYEU,"RAP VIỆT, Hustlang Robber",https://v11.nhaccuatui.com/bai-hat/1tinhyeu-rap-viet-hustlang-robber.bCPTqDLmMjR4.html
36,QUA TỪNG KHUNG HÌNH,"RAP VIỆT, Hustlang Robber, Ngắn",https://v11.nhaccuatui.com/bai-hat/qua-tung-khung-hinh-rap-viet-hustlang-robber-ngan.Sx4DMgqxRpxD.html
37,Anh Đau Từ Lúc Em Đi,Trần Mạnh Cường,https://v11.nhaccuatui.com/bai-hat/anh-dau-tu-luc-em-di-tran-manh-cuong.aN8avC2wBVjC.html
38,TRÌNH,HIEUTHUHAI,https://v11.nhaccuatui.com/bai-hat/trinh-hieuthuhai.m3kUqJlhSxnG.html
39,ĐÂU PHẢI VỢ ANH,"RAP VIỆT, Dangrangto",https://v11.nhaccuatui.com/bai-hat/dau-phai-vo-anh-rap-viet-dangrangto.wUI1ftKF406O.html
40,TÌNH ĐẦU QUÁ CHÉN,"ANH TRAI ""SAY HI"", Quang Hùng MasterD, Negav, Pháp Kiều, ERIK",https://v11.nhaccuatui.com/bai-hat/tinh-dau-qua-chen-anh-trai-say-hi-quang-hung-masterd-negav-phap-kieu-erik.ZViQdtds3AH7.html
41,Mantra,JENNIE,https://v11.nhaccuatui.com/bai-hat/mantra-jennie.7JIHT0ig3eW2.html
42,"Đi Giữa Trời Rực Rỡ (From ""Đi Giữa Trời Rực Rỡ"")",Ngô Lan Hương,https://v11.nhaccuatui.com/bai-hat/di-giua-troi-ruc-ro-from-di-giua-troi-ruc-ro-ngo-lan-huong.ISY94SDm2hFh.html
43,Cung Tên Tình Yêu,Pháp Kiều,https://v11.nhaccuatui.com/bai-hat/cung-ten-tinh-yeu-phap-kieu.Y2SrSt7hTycp.html
44,NGỰA Ô,"Dangrangto, TeuYungBoy, Donal",https://v11.nhaccuatui.com/bai-hat/ngua-o-dangrangto-teuyungboy-donal.1Nr12dvjtPpl.html
45,HOP ON DA SHOW,"tlinh, Low G",https://v11.nhaccuatui.com/bai-hat/hop-on-da-show-tlinh-low-g.aYLxhJMqB1Wx.html
46,"KIM PHÚT, KIM GIỜ","Isaac, Negav, HIEUTHUHAI, HURRYKNG, Pháp Kiều, ANH TRAI ""SAY HI""",https://v11.nhaccuatui.com/bai-hat/kim-phut-kim-gio-isaac-negav-hieuthuhai-hurrykng-phap-kieu-anh-trai-say-hi.I27zoLp2Ovzz.html
47,Hư không,Kha,https://v11.nhaccuatui.com/bai-hat/hu-khong-kha.zg8rqHWqlAkT.html
48,SAO HẠNG A,"ANH TRAI ""SAY HI"", HIEUTHUHAI, Dương Domic, Song Luân, JSOL",https://v11.nhaccuatui.com/bai-hat/sao-hang-a-anh-trai-say-hi-hieuthuhai-duong-domic-song-luan-jsol.9hVrZ2qY9XqD.html
49,NGÁO NGƠ,"ANH TRAI ""SAY HI"", HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL, Orange",https://v11.nhaccuatui.com/bai-hat/ngao-ngo-anh-trai-say-hi-hieuthuhai-erik-anh-tu-atus-jsol-orange.gwkZrcqfbbOI.html
50,REGRET,"ANH TRAI ""SAY HI"", Quân A.P, Pháp Kiều, Quang Trung, Ali Hoàng Dương, Lâm Bảo Ngọc",https://v11.nhaccuatui.com/bai-hat/regret-anh-trai-say-hi-quan-ap-phap-kieu-quang-trung-ali-hoang-duong-lam-bao-ngoc.0U4Pr5esABDT.html
