id,track_name,artist_names,source,release_date,duration,days_on_chart,rank,streams,genre
1UbP4wgY0XuLoEq9XollNZ,LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,Ngọt,2019-09-06,215,5,40,2746158440,Nhạc Việt
1q3C6brbmRrULTyo2mseKF,FLASH,X1,Genie Music Corporation,2019-08-30,215,35,41,2746158440,Nhạc Hàn
0bAkKNCQfWkexHFn7fIKns,In My Feelings,Drake,Cash Money/Drake LP6,2018-06-29,199,17,42,2717995624,Nhạc nước ngoài
2c7GlMNmF7pbohjykutmLP,"Thunderclouds (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD",Records/Columbia,1975-11-21,354,234,43,2716535857,Khác
0lks2Kt9veMOFEAPN0fsqN,Lily,"Alan Walker, K-391, Emelie Hollow",Kreatell Music,2018-06-29,199,765,44,2716429901,Khác
45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),"Khalid, Normani",RCA Records Label,2018-01-20,199,94,45,2716429901,Khác
5troof8mcGO3AafoDbk1gc,Look What You Made Me Do,Taylor Swift,"Big Machine Records, LLC",2013-01-01,282,33,46,2699781317,Nhạc nước ngoài
09FfQO3PqHO4HIJL511Ksi,Nice Guy (with Jessie Reyez),"Eminem, Jessie Reyez",Aftermath,2015-11-13,234,1,47,2690434988,Nhạc nước ngoài
2xmrfQpmS2iJExTlklLoAL,I Miss You (feat. Julia Michaels),"Clean Bandit, Julia Michaels",Atlantic Records UK,2015-11-13,234,50,48,2688120802,Khác
1N7YeVU0ZwAFbOhwM61ef6,Head Above Water,Avril Lavigne,BMG Rights Management (US) LLC,2018-09-27,216,43,49,2687725907,Nhạc nước ngoài
6xtcFXSo8H9BZN637BMVKS,Let You Love Me,Rita Ora,Rita Sahatciu Ora,2018-10-05,216,53,50,2685816736,Nhạc nước ngoài
6Xl74gKsRn6wTZa69LSb4R,Lời Yêu Em,Vũ.,WM Vietnam,2019-03-29,194,31,51,2679890289,Nhạc Việt
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,Universal Republic Records,2016-11-24,260,582,52,2674263724,Nhạc nước ngoài
5HK1vERAqCVgCWyRQBClAv,Ngày Khác Lạ,"Đen, Giang Pham, Triple D",Đen,2017-06-23,187,205,53,2643562651,Khác
6hUpxEKFSjS8metuA1yxlf,Vai Lan Don Dua,SOOBIN,Space Speakers,2017-06-23,187,1219,54,2643562651,Nhạc Việt
0jY5Kr6b9KCefb9mPruLU0,Loving You Sunny,"Kimmese, Đen",12 trái lê,2013-08-30,270,142,55,2639131007,Khác
5SxkdsY1ufZzoq9iXceLw9,no tears left to cry,Ariana Grande,Republic Records,2013-01-01,247,103,56,2625449419,Nhạc nước ngoài
79dGPzulHMR0W8w1b8CgO8,Twin Peaks Theme,Henrik Janson,Henrik Janson,2012-01-01,253,1,57,2479205767,Nhạc nước ngoài
44ONERBHALxftQNWq6dmyd,Side To Side,"Ariana Grande, Nicki Minaj",Universal Records,2019-02-08,179,4,58,2476251414,Nhạc nước ngoài
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,Kid Ina Korner / Interscope,2019-01-18,179,540,59,2476251414,Nhạc nước ngoài
4DHcnVTT87F0zZhRPYmZ3B,Flowers,Miley Cyrus,Columbia,2023-03-10,201,122,60,2443885636,Nhạc nước ngoài
0yLdNVWF3Srea0uzk55zFn,Flowers,Miley Cyrus,Columbia,2023-01-13,200,48,61,2443885636,Nhạc nước ngoài
4edS9dC0JPBlSS4p4gMOT0,This Feeling,"The Chainsmokers, Kelsea Ballerini",Disruptor Records/Columbia,2017-04-20,188,56,62,2418734238,Nhạc nước ngoài
7hvxMYq9JW5W0vFwiu1Zdr,Dreamer,Axwell /\ Ingrosso,Pophouse Entertainment Group,2017-04-20,188,18,63,2418734238,Khác
3QH8rQGNFX8VLbCgZ7uPTS,Fly To My Room,BTS,BIGHIT MUSIC,2021-01-08,242,217,64,2417739117,Nhạc Hàn
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),"24kGoldn, iann dior",Records/Columbia,2021-05-21,242,372,65,2417739117,Nhạc nước ngoài
4WzhjxvLP95y7AMDy0Atwb,Out Of Love,Alessia Cara,Def Jam Recordings,2016-08-05,206,19,66,2413997331,Nhạc nước ngoài
7Fg342AJtNsIDdwCfX0paC,Let Me,ZAYN,RCA Records Label,2018-04-06,215,51,67,2391561916,Nhạc nước ngoài
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,Top Dawg Entertainment/RCA Records,2022-12-08,154,671,68,2388030795,Nhạc nước ngoài
3cbLHmmEPvTgHKvl53WYiy,ON,BTS,BIGHIT MUSIC,2021-05-14,178,435,69,2369042221,Nhạc Hàn
3BZEcbdtXQSo7OrvKRJ6mb,MONTERO (Call Me By Your Name),Lil Nas X,Columbia,2021-05-21,178,5,70,2369042221,Nhạc nước ngoài
4gJAWJnE5cvAAWyTMTxgdY,You Are The Reason - Duet Version,"Calum Scott, Leona Lewis",Capitol Records,2015-11-13,201,15,71,2349291763,Khác
3DPkMPJ1rUrMgXGUwtpMuV,Vũ Điệu Cồng Chiêng,Tóc Tiên,Tóc Tiên,2018-03-16,167,11,72,2346986265,Nhạc Việt
2LEDtBvipXO7mxlNqJJPkm,Con Đường Mưa,Cao Thái Sơn,Cao Thái Sơn,2018-03-02,167,13,73,2346986265,Nhạc Việt
4eVkn18rN4GguUWOsR6Use,Answer : Love Myself,BTS,BIGHIT MUSIC,2018-08-17,214,34,74,2345674899,Nhạc Hàn
3Yw09dj3cTXsAzlLjgBfIP,Talk Up (feat. Jay-Z),"Drake, JAY-Z",Cash Money/Drake LP6,2017-08-25,119,1,75,2333638678,Nhạc nước ngoài
5HiSc2ZCGn8L3cH3qSwzBT,러시안 룰렛 Russian Roulette,Red Velvet,SM Entertainment,2017-04-20,199,2,76,2328258305,Nhạc Hàn
698ItKASDavgwZ3WjaWjtz,Faded,Alan Walker,Kreatell Music,2017-04-20,199,208,77,2326130780,Nhạc nước ngoài
01AKUA3Pgpqm68mhNsC03t,Đẹp Nhất Là Em(Between us),"Ji Yeon, SOOBIN","V LIVE, MUDIO inc.",2018-08-03,313,96,78,2310976379,Khác
7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",EMI,2021-10-22,203,182,79,2294918031,Khác
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",EMI,2021-08-13,203,4,80,2294918031,Khác
70cMlm2Ib00pnJHtjMem9b,Những Con Đường Song Song,Chillies,WM Vietnam,2020-03-20,216,19,81,2273914270,Nhạc Việt
5Hba2FufYnxr2mGjeyFv72,Biết Khi Nào Gặp Lại,Mỹ Tâm,MT Entertainment,2017-06-02,209,354,82,2266005348,Nhạc Việt
5roIqBOfs7unk4KsPEEbar,Fall In Love,Hoàng Thùy Linh,POPS WORLDWIDE,2015-01-01,209,8,83,2266005348,Nhạc Việt
32DGGj6KlNuBr6WaqRxpxi,How Long,Charlie Puth,Artist Partner,2017-11-03,201,49,84,2256141597,Nhạc nước ngoài
3kcad6l0zJdzGZEvxXzNKP,Hay Yeu Nhau Di,Thiên Phượng,Lang Van,2014-05-26,173,1,85,2248040405,Nhạc nước ngoài
4oqm7XzkfEJI7vlhaBE7UK,Lạc Giữa Nhân Gian,Ngô Kiến Huy,Viettel,2014-01-01,173,8,86,2246738587,Nhạc Việt
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",BIGHIT MUSIC,2023-11-03,184,568,87,2234241328,Nhạc nước ngoài
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),"Jung Kook, Latto",BIGHIT MUSIC,2023-07-14,184,111,88,2234241328,Nhạc nước ngoài
76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa,Warner Records,2018-01-12,217,382,89,2231899050,Nhạc nước ngoài
1qAPA8TooLVEqAZ58fhcrt,BOOMBAYAH,BLACKPINK,YG Entertainment,2002-08-27,310,148,90,2220321746,Nhạc Hàn
2BNkTvg1kHAAfGvqh56x5a,Getting Over You,Lauv,Lauv,2011-01-19,285,19,91,2213596599,Nhạc nước ngoài
6rVNnvyNeibts1uOqdSNIw,Mother,Charlie Puth,Artist Partner,2019-09-20,189,2,92,2208160183,Nhạc nước ngoài
2WOpp4vm16unl0N3i3BNNv,Tình Đắng Như Ly Cà Phê,"Ngơ, NÂN",12 trái lê,2021-06-11,189,1735,93,2208160183,Khác
2FWBdovgRvBSzA1JESUe0D,Làm Gì Phải Hốt,"Hoàng Thùy Linh, JustaTee, Đen",NGUYEN THANH TUAN,2020-01-17,202,755,94,2202235591,Khác
74iZuPGwyL33VlTr6jTnab,Always Remember Us This Way,Lady Gaga,A Star is Born OST,2018-10-04,202,11,95,2201480995,Nhạc nước ngoài
3DH7Ogn4I781cKCxpEcRbd,Hongkong1 - Official Version - Original,Nguyễn Trọng Tài,COMEMUSIC,1994-10-28,241,20,96,2168890740,Nhạc Việt
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,Darkroom/Interscope Records,2024-05-17,210,260,97,2138708451,Nhạc nước ngoài
1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,Columbia,2019-11-22,215,14,98,2132618360,Nhạc nước ngoài
5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",Columbia,2021-09-17,212,358,99,2132467087,Nhạc nước ngoài
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",Columbia,2021-07-23,212,55,100,2132467087,Nhạc nước ngoài
54PbBpquVfhfrwRwvjSXbI,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",Artist Partner,2015-11-05,218,1354,101,2125041454,Khác
2DGa7iaidT5s0qnINlwMjJ,The Spectre,Alan Walker,Kreatell Music,2015-11-05,218,19,102,2122766611,Nhạc nước ngoài
2BkyYZmU4JuWW2sYi9EzpC,7 Minutes,Dean Lewis,Universal Music Australia Pty. Ltd.,2018-12-14,212,4,103,2122196711,Nhạc nước ngoài
4e3wYOolOau2A9D7GYqtSG,Where's My Love - Piano Solo,SYML,Nettwerk Music Group,2015-12-04,213,2,104,2122196711,Nhạc nước ngoài
1XGmzt0PVuFgQYYnV2It7A,Payphone,"Maroon 5, Wiz Khalifa",Interscope Records*,2012-01-01,231,8,105,2121347216,Nhạc nước ngoài
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,"DJ Snake, Justin Bieber",DJ Snake Def Jam,2015-04-14,207,45,106,2119927340,Khác
3ksHvU75aLBENx2ZmO49Jx,Anh Thanh Niên,HuyR,Yin Yang Media,2019-12-06,197,99,107,2113058118,Nhạc Việt
083Qf6hn6sFL6xiOHlZUyn,I'll Be There,Jess Glynne,Atlantic Records UK,2014-01-01,239,1,108,2113047007,Nhạc nước ngoài
0uv4HphFFoEn1LVZQ806Fy,Anh Đã Quen Với Cô Đơn,SOOBIN,Mix166,2014-01-01,239,2,109,2113047007,Nhạc Việt
6osYEcGOlS3jEedcW96GlM,Gucci in Town,Vũ Cát Tường,Universal Music Indochina Distributed Labels,2018-10-17,200,15,110,2090727669,Nhạc Việt
4SSnFejRGlZikf02HLewEF,bury a friend,Billie Eilish,Darkroom/Interscope Records,2019-03-29,196,208,111,2090727669,Nhạc nước ngoài
7s7tnNQDgYutWEPaeanT58,Tìm Lại Bầu Trời,Tuấn Hưng,POPS WORLDWIDE,2018-02-09,232,62,112,2084703122,Nhạc Việt
2Pvr8rYuh5J8V7QglJhH6W,Want You Back,5 Seconds of Summer,Capitol,2015-01-01,230,2,113,2078300638,Nhạc nước ngoài
0G5x8z6rwAop7c0VksDS9M,Đau Thế Mà,Mỹ Tâm,MT Entertainment,2008-05-01,243,48,114,2072134151,Nhạc Việt
6WbADFqMvR8N5u0BvtsWQE,Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",Universal Music AB,2018-04-27,231,36,115,2064219143,Nhạc nước ngoài
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,Columbia,2021-10-14,225,32,116,2057557192,Nhạc nước ngoài
46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele,Columbia,2021-11-19,225,230,117,2057557192,Nhạc nước ngoài
5DlXq40tjFwd3SFp55AfKp,2021,Lauv,Lauv,2021-04-09,209,1,118,2046440192,Nhạc nước ngoài
45Mswno1F7FoZkcmQkp7fi,Thích Em Hơi Nhiều,Wren Evans,Universal Music Indochina,2021-06-25,209,1205,119,2046440192,Nhạc Việt
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,Syco Music,2014-11-17,227,14,120,2033502358,Nhạc nước ngoài
2g9jxHI2KqSS1MRwS7e95x,Chắc Ai Đó Sẽ Về,Sơn Tùng M-TP,Universal Music Indochina Distributed Labels,2021-03-31,138,16,121,2030459097,Nhạc Việt
1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),Lil Nas X,Columbia,2021-09-17,138,295,122,2030459097,Nhạc nước ngoài
19CSr8rwW05VJL2F91KFNK,ivy,Taylor Swift,Taylor Swift,2021-03-26,138,5,123,2030459097,Nhạc nước ngoài
46JuEtCV69InGm7hONKrgA,INTRO: Neo Got My Back,"NCT, NCT U",SM Entertainment,2014-01-01,232,1,124,2028798660,Nhạc nước ngoài
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,Universal Republic Records,2018-03-30,228,81,125,2027919097,Nhạc nước ngoài
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,BIGHIT MUSIC,2020-11-20,199,970,126,2027218559,Nhạc Hàn
1Huy9G87D6pbIveFulsH0P,Âm Thầm Bên Em,Sơn Tùng M-TP,Universal Music Indochina Distributed Labels,2020-08-28,199,1059,127,2027218559,Nhạc Việt
79jX8RM5CgPqDKdGEKNW9K,In My Blood,Shawn Mendes,Island Records,2018-03-29,228,55,128,2026953590,Nhạc nước ngoài
2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,Atlantic Records UK,2014-01-01,177,181,129,2023423856,Nhạc nước ngoài
0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,"Marshmello, Demi Lovato",Joytime Collective,2020-07-24,141,34,130,2021838638,Khác
5Ojsg9xR0wlTpDIW1qLYz2,Đom Đóm,Jack - J97,Nomad Mgmt Vietnam,2021-03-26,141,219,131,2021838638,Nhạc nước ngoài
2wVDWtLKXunswWecARNILj,SOLO,JENNIE,YG Entertainment,2018-11-03,207,842,132,2003719303,Nhạc Hàn
2XWjPtKdi5sucFYtVav07d,365,"Zedd, Katy Perry",Interscope Records,2019-02-08,207,107,133,2003719303,Nhạc nước ngoài
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),"David Guetta, Bebe Rexha",Parlophone UK,2022-08-26,175,12,134,2000190304,Khác
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,Island Records,2024-08-23,175,223,135,1987402446,Nhạc nước ngoài
1LQn7eHlYpkxyUxtts8JlC,Bài Hát Của Em,Uyên Linh,Yin Yang Media,2017-04-20,211,2,136,1984798109,Nhạc Việt
1lsBTdE6MGsKeZCD6llNu7,Done for Me (feat. Kehlani),"Charlie Puth, Kehlani",Artist Partner,2018-05-11,209,109,137,1984798109,Khác
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Island Records,2024-04-12,175,150,138,1984027311,Nhạc nước ngoài
7uuEfUMuPeQ7RlSWa0cES2,Can't Help Falling In Love,Kina Grannis,WaterTower Music,2018-05-31,197,64,139,1969642945,Nhạc nước ngoài
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",Interscope,2024-08-16,252,169,140,1955875965,Nhạc nước ngoài
1vtQjPCcdE7FgrxQd5doWP,Sao Cũng Được,Binz,Spacespeakers,2020-03-20,198,261,141,1955138645,Nhạc nước ngoài
0ifrzLr6KZEas3V3DEZV6P,GIẢ VỜ,Ngọt,Ngọt,2019-10-04,176,22,142,1950145132,Nhạc Việt
54s6sdPuMjVtdB5d5KFzTC,Save Me,BTS,BIGHIT MUSIC,2019-05-10,220,12,143,1945734475,Nhạc Hàn
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),"Billie Eilish, Justin Bieber",Darkroom/Interscope Records,2019-07-12,220,77,144,1945734475,Khác
3qnoOm4fwZPBS116f5hpgF,All Mine,Kanye West,"Getting Out Our Dreams, Inc./Def Jam Recordings",2018-05-25,169,12,145,1943528808,Nhạc nước ngoài
3Qq6L7O8VejX6QHW8PFSuR,Giả Vờ Say,Đông Nhi,Yin Yang Media,2018-11-16,169,91,146,1943528808,Nhạc Việt
4pWF7uyalOeveT6oansXmy,Lạc Trôi,Sơn Tùng M-TP,Universal Music Indochina Distributed Labels,2018-04-12,203,220,147,1931676698,Nhạc Việt
1NbGcdgwRHZ5rbPIT9hdR3,Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande",EMI Recorded Music Australia Pty Ltd,2018-06-15,203,2,148,1931676698,Khác
4QIo4oxwzzafcBWkKjDpXY,xanny,Billie Eilish,Darkroom/Interscope Records,2019-03-22,196,43,149,1914922428,Nhạc nước ngoài
7uvXCImcEEKhjRRhLyjZLn,Thư Cho Anh,TRANG,Nhaccuatrang,2018-06-29,196,84,150,1914241214,Nhạc Việt
1tNJrcVe6gwLEiZCtprs1u,3 Nights,Dominic Fike,Columbia,2019-03-22,196,15,151,1914241214,Nhạc nước ngoài
3KUGAgxo3b81X5bWoOp0U8,Back Door,Stray Kids,Republic Records - Stray Kids,2018-12-14,239,1,152,1906586212,Nhạc Hàn
0DhkTGjEaIHaSxTfC14BFm,Lullaby,"R3HAB, Mike Williams",CYB3RPVNK,2017-09-07,239,19,153,1904732879,Khác
5WvAo7DNuPRmk4APhdPzi8,No Brainer,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",Epic/We The Best,2018-07-12,174,50,154,1892202489,Khác
4heFQCyiW0RUEX1Q1lb008,Different World (feat. CORSAK),"Alan Walker, K-391, Sofia Carson, CORSAK",Kreatell Music,2018-12-07,171,13,155,1892202489,Khác
0pQ67Kp2kED4ISy1ieGPEq,Ghé Qua,"PC, Dick, tofutns",12 trái lê,2021-06-25,231,1388,156,1884737652,Khác
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,Atlantic Records UK,2021-10-25,231,401,157,1884737652,Nhạc nước ngoài
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,RBMG/Def Jam,2021-03-19,153,244,158,1869852734,Nhạc nước ngoài
1roCmBlcpV7LzsmB7pmCyt,Let Me Down Slowly (feat. Alessia Cara),"Alec Benjamin, Alessia Cara",P2019,2011-10-18,285,30,159,1867510702,Khác
06qMRF18gwbOYYbnP2du6i,Last Christmas - Single Version,Wham!,Sony Music CG,2023-07-07,266,156,160,1867446419,Nhạc nước ngoài
1ulza3FB6CpNkTSJsmrA6l,Ket Nguyet,Đông Nhi,Universal Music Indochina,1984-11-29,263,2,161,1867296630,Nhạc Việt
4TfH2Syxsx2cAJShY8u6bT,Anh Luôn Là Lý Do,ERIK,Hi Entertainment,2021-04-01,216,90,162,1850589212,Nhạc Việt
5pcjystBtalYeqaiXCcgEY,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),"Taylor Swift, Maren Morris",Taylor Swift,2021-05-21,216,6,163,1850589212,Nhạc nước ngoài
2iXclx3wUBGDnVXseACeS5,Cho Em Một Lần Yêu,Đông Nhi,6th Sense Entertainment JSC,2016-12-09,245,2,164,1831385410,Nhạc Việt
40T5GIqQ1CegGm2PTEl8Bu,idontwannabeyouanymore,Billie Eilish,Darkroom,2016-12-09,245,303,165,1831385410,Nhạc nước ngoài
6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,Kemosabe Records/RCA Records,2021-06-25,173,333,166,1830599216,Nhạc nước ngoài
5vFlFRtQE31wtUFl6lRWMJ,Nhớ Người Hay Nhớ,"Châu Đăng Khoa, Khói, Sofia",NhacCuaTui,2021-05-21,229,42,167,1830048246,Khác
4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,Warner Records,2014-11-28,160,245,168,1828818825,Nhạc nước ngoài
5a0nHa7F4S9hb0Zi0zLS8w,SUGA's Interlude,"Halsey, SUGA, BTS",Capitol Records,2019-12-13,207,27,169,1826030560,Khác
2klsSb2iTfgDh95Ak9uWY2,Gái Độc Thân,tlinh,Universal Music Indochina Distributed Labels,2017-12-08,212,568,170,1824458719,Nhạc Việt
2qMPzm1zqE6RadT3UHkjCR,Cô Gái Vàng (feat. Tùng Viu),"HuyR, Tùng Viu",Yin Yang Media,2020-09-18,187,29,171,1821076594,Khác
5Qg0xK4s85tINbQcJD3GDq,badbye (with eAeon),"RM, eAeon",BIGHIT MUSIC,2018-08-17,187,11,172,1820391432,Khác
3cphb8kdsjElYR7r5icK3H,Nice To Meet Ya,Niall Horan,Capitol Records,2019-11-13,245,2,173,1813110278,Nhạc nước ngoài
37TSJmYKLxXmx8OehFpqMN,Respect,BTS,BIGHIT MUSIC,2020-02-08,173,41,174,1795866340,Nhạc Hàn
